STATUS | wrapper  | 2006/07/25 11:51:30 | --> Wrapper Started as Console
STATUS | wrapper  | 2006/07/25 11:51:30 | Launching a JVM...
INFO   | jvm 1    | 2006/07/25 11:51:31 | Wrapper (Version 3.2.1) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2006/07/25 11:51:31 | 
INFO   | jvm 1    | 2006/07/25 11:51:31 | WrapperSimpleApp: Unable to locate the class start: java.lang.ClassNotFoundException: start
INFO   | jvm 1    | 2006/07/25 11:51:31 | 
INFO   | jvm 1    | 2006/07/25 11:51:31 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2006/07/25 11:51:31 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2006/07/25 11:51:31 | 
INFO   | jvm 1    | 2006/07/25 11:51:31 | Where:
INFO   | jvm 1    | 2006/07/25 11:51:31 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2006/07/25 11:51:31 |   app_parameters: The parameters that would normally be passed to the
INFO   | jvm 1    | 2006/07/25 11:51:31 |                   application.
STATUS | wrapper  | 2006/07/25 11:51:33 | <-- Wrapper Stopped
STATUS | wrapper  | 2006/07/25 11:52:14 | --> Wrapper Started as Console
STATUS | wrapper  | 2006/07/25 11:52:15 | Launching a JVM...
INFO   | jvm 1    | 2006/07/25 11:52:15 | Wrapper (Version 3.2.1) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2006/07/25 11:52:15 | 
INFO   | jvm 1    | 2006/07/25 11:52:15 | WrapperSimpleApp: Unable to locate the class start: java.lang.ClassNotFoundException: start
INFO   | jvm 1    | 2006/07/25 11:52:15 | 
INFO   | jvm 1    | 2006/07/25 11:52:15 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2006/07/25 11:52:15 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2006/07/25 11:52:15 | 
INFO   | jvm 1    | 2006/07/25 11:52:15 | Where:
INFO   | jvm 1    | 2006/07/25 11:52:15 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2006/07/25 11:52:15 |   app_parameters: The parameters that would normally be passed to the
INFO   | jvm 1    | 2006/07/25 11:52:15 |                   application.
STATUS | wrapper  | 2006/07/25 11:52:17 | <-- Wrapper Stopped
STATUS | wrapper  | 2006/07/25 11:53:08 | --> Wrapper Started as Console
WARN   | wrapper  | 2006/07/25 11:53:09 | The value of property 'wrapper.java.additional.1', 'startup.bat' is not a valid argument to the jvm.  Skipping.
STATUS | wrapper  | 2006/07/25 11:53:09 | Launching a JVM...
INFO   | jvm 1    | 2006/07/25 11:53:09 | Wrapper (Version 3.2.1) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2006/07/25 11:53:09 | 
INFO   | jvm 1    | 2006/07/25 11:53:09 | WrapperSimpleApp: Unable to locate the class start: java.lang.ClassNotFoundException: start
INFO   | jvm 1    | 2006/07/25 11:53:09 | 
INFO   | jvm 1    | 2006/07/25 11:53:09 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2006/07/25 11:53:09 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2006/07/25 11:53:09 | 
INFO   | jvm 1    | 2006/07/25 11:53:09 | Where:
INFO   | jvm 1    | 2006/07/25 11:53:09 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2006/07/25 11:53:09 |   app_parameters: The parameters that would normally be passed to the
INFO   | jvm 1    | 2006/07/25 11:53:09 |                   application.
STATUS | wrapper  | 2006/07/25 11:53:11 | <-- Wrapper Stopped
STATUS | wrapper  | 2006/07/25 11:57:44 | --> Wrapper Started as Console
STATUS | wrapper  | 2006/07/25 11:57:44 | Launching a JVM...
INFO   | jvm 1    | 2006/07/25 11:57:45 | Wrapper (Version 3.2.1) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2006/07/25 11:57:45 | 
INFO   | jvm 1    | 2006/07/25 11:57:45 | WrapperSimpleApp: Unable to locate the class org.apache.catalina.startup.Bootstrap: java.lang.ClassNotFoundException: org.apache.catalina.startup.Bootstrap
INFO   | jvm 1    | 2006/07/25 11:57:45 | 
INFO   | jvm 1    | 2006/07/25 11:57:45 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2006/07/25 11:57:45 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2006/07/25 11:57:45 | 
INFO   | jvm 1    | 2006/07/25 11:57:45 | Where:
INFO   | jvm 1    | 2006/07/25 11:57:45 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2006/07/25 11:57:45 |   app_parameters: The parameters that would normally be passed to the
INFO   | jvm 1    | 2006/07/25 11:57:45 |                   application.
STATUS | wrapper  | 2006/07/25 11:57:47 | <-- Wrapper Stopped
STATUS | wrapper  | 2006/07/25 11:59:12 | --> Wrapper Started as Console
STATUS | wrapper  | 2006/07/25 11:59:12 | Launching a JVM...
INFO   | jvm 1    | 2006/07/25 11:59:13 | Wrapper (Version 3.2.1) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2006/07/25 11:59:13 | 
INFO   | jvm 1    | 2006/07/25 11:59:13 | WrapperSimpleApp: Unable to locate the class org.apache.catalina.startup.Bootstrap: java.lang.ClassNotFoundException: org.apache.catalina.startup.Bootstrap
INFO   | jvm 1    | 2006/07/25 11:59:13 | 
INFO   | jvm 1    | 2006/07/25 11:59:13 | WrapperSimpleApp Usage:
INFO   | jvm 1    | 2006/07/25 11:59:13 |   java org.tanukisoftware.wrapper.WrapperSimpleApp {app_class} [app_parameters]
INFO   | jvm 1    | 2006/07/25 11:59:13 | 
INFO   | jvm 1    | 2006/07/25 11:59:13 | Where:
INFO   | jvm 1    | 2006/07/25 11:59:13 |   app_class:      The fully qualified class name of the application to run.
INFO   | jvm 1    | 2006/07/25 11:59:13 |   app_parameters: The parameters that would normally be passed to the
INFO   | jvm 1    | 2006/07/25 11:59:13 |                   application.
STATUS | wrapper  | 2006/07/25 11:59:15 | <-- Wrapper Stopped
STATUS | wrapper  | 2006/07/25 11:59:46 | --> Wrapper Started as Console
STATUS | wrapper  | 2006/07/25 11:59:47 | Launching a JVM...
INFO   | jvm 1    | 2006/07/25 11:59:47 | Wrapper (Version 3.2.1) http://wrapper.tanukisoftware.org
INFO   | jvm 1    | 2006/07/25 11:59:47 | 
INFO   | jvm 1    | 2006/07/25 11:59:47 | WrapperSimpleApp: Unable to locate the class org.apache.catalina.startup.Bootstrap: java.lang.ClassNotFoundException: org.apache.catalina.startup.Bootstrap
INFO   | jvm 1    | 2006/07/25 11:59:47 | 
